,STOCK CODE,STOCK NAME_x,VALUE DATE,EVAL MID YIELD,EVAL MID PRICE,EVAL MID PRICE CHANGE,EVAL MID YIELD CHANGE,MODIFIED DURATION,CONVEXITY,COUPON FREQUENCY,NEXT COUPON RATE
1282,DI140013,UNITAPAH 5.06% Series 8 12.12.2019,2019-08-01,3.5810000000000004,100.521,-0.004,-0.001,0.358,0.257,2.0,5.06
1270,DI140013,UNITAPAH 5.06% Series 8 12.12.2019,2019-09-03,3.517,100.406,-0.016,-0.002,0.27,0.146,2.0,5.06
1256,DI140013,UNITAPAH 5.06% Series 8 12.12.2019,2019-10-01,3.429,100.307,-0.002,-0.011000000000000001,0.195,0.076,2.0,5.06
1257,DI140013,UNITAPAH 5.06% Series 8 12.12.2019,2019-11-01,3.435,100.17200000000001,-0.004,-0.001,0.111,0.024,2.0,5.06
1252,DI140013,UNITAPAH 5.06% Series 8 12.12.2019,2019-12-02,3.404,100.041,-0.013000000000000001,-0.01,0.026000000000000002,0.001,2.0,5.06
1284,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2019-08-01,3.772,101.83200000000001,-0.002,-0.001,1.2990000000000002,2.352,2.0,5.17
1272,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2019-09-03,3.65,101.86399999999999,-0.012,-0.003,1.2109999999999999,2.089,2.0,5.17
1258,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2019-10-01,3.5869999999999997,101.82700000000001,0.006,-0.009000000000000001,1.136,1.876,2.0,5.17
1259,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2019-11-01,3.5989999999999998,101.68799999999999,-0.004,0.0,1.052,1.653,2.0,5.17
1254,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2019-12-02,3.571,101.59200000000001,-0.01,-0.002,0.9690000000000001,1.443,2.0,5.17
1235,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2020-01-02,3.5260000000000002,101.50399999999999,0.001,-0.011000000000000001,0.9109999999999999,1.284,2.0,5.17
1228,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2020-02-03,3.375,101.491,-0.013000000000000001,-0.001,0.826,1.094,2.0,5.17
1226,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2020-03-02,3.179,101.508,-0.006,-0.012,0.7509999999999999,0.9390000000000001,2.0,5.17
1222,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2020-04-01,3.237,101.31,0.017,-0.031,0.67,0.784,2.0,5.17
1219,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2020-05-04,3.0789999999999997,101.236,-0.01,-0.02,0.581,0.63,2.0,5.17
1207,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2020-06-01,2.8139999999999996,101.221,-0.018000000000000002,-0.001,0.506,0.512,2.0,5.17
1206,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2020-07-01,2.826,101.027,-0.006,-0.001,0.44,0.387,2.0,5.17
1197,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2020-08-03,2.5469999999999997,100.916,-0.027000000000000003,-0.002,0.35200000000000004,0.247,2.0,5.17
1180,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2020-09-01,2.46,100.73299999999999,-0.026000000000000002,-0.013000000000000001,0.273,0.15,2.0,5.17
1177,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2020-10-01,2.471,100.51100000000001,-0.006999999999999999,-0.002,0.192,0.07400000000000001,2.0,5.17
1167,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2020-11-02,2.313,100.296,-0.022000000000000002,-0.01,0.105,0.022000000000000002,2.0,5.17
1283,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,2019-08-01,3.685,101.20299999999999,-0.004,0.0,0.835,1.113,2.0,5.12
1271,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,2019-09-03,3.5869999999999997,101.152,-0.015,-0.002,0.747,0.93,2.0,5.12
1257,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,2019-10-01,3.509,101.09299999999999,0.003,-0.01,0.672,0.787,2.0,5.12
1258,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,2019-11-01,3.5410000000000004,100.94200000000001,-0.004,-0.001,0.588,0.6409999999999999,2.0,5.12
1253,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,2019-12-02,3.5039999999999996,100.834,-0.012,-0.001,0.505,0.509,2.0,5.12
1234,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,2020-01-02,3.46,100.719,-0.005,-0.01,0.436,0.38,2.0,5.12
1227,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,2020-02-03,3.313,100.625,-0.013999999999999999,-0.001,0.35100000000000003,0.24600000000000002,2.0,5.12
1225,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,2020-03-02,3.114,100.54299999999999,-0.013000000000000001,-0.012,0.276,0.152,2.0,5.12
1221,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,2020-04-01,3.097,100.385,0.001,-0.031,0.195,0.076,2.0,5.12
1218,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,2020-05-04,2.94,100.223,-0.022000000000000002,-0.012,0.105,0.022000000000000002,2.0,5.12
1206,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,2020-06-01,2.687,100.068,-0.019,-0.006999999999999999,0.028999999999999998,0.002,2.0,5.12
1286,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2019-08-01,3.8569999999999998,103.17200000000001,-0.004,0.0,2.1919999999999997,6.046,2.0,5.28
1274,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2019-09-03,3.6889999999999996,103.42399999999999,0.008,-0.011000000000000001,2.106,5.631,2.0,5.28
1260,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2019-10-01,3.67,103.353,-0.004,0.0,2.031,5.284,2.0,5.28
1261,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2019-11-01,3.661,103.24799999999999,-0.004,0.0,1.9469999999999998,4.912,2.0,5.28
1256,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2019-12-02,3.635,103.176,-0.01,-0.001,1.864,4.553999999999999,2.0,5.28
1237,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2020-01-02,3.617,103.08200000000001,-0.006,-0.001,1.829,4.324,2.0,5.28
1230,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2020-02-03,3.464,103.221,0.002,-0.009000000000000001,1.745,3.98,2.0,5.28
1228,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2020-03-02,3.267,103.434,0.002,-0.01,1.671,3.693,2.0,5.28
1224,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2020-04-01,3.475,102.93299999999999,0.047,-0.031,1.588,3.383,2.0,5.28
1221,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2020-05-04,3.199,103.21700000000001,0.013000000000000001,-0.022000000000000002,1.5019999999999998,3.073,2.0,5.28
1209,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2020-06-01,3.0010000000000003,103.368,-0.016,-0.001,1.4280000000000002,2.821,2.0,5.28
1208,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2020-07-01,3.012,103.176,-0.006,0.0,1.3840000000000001,2.6260000000000003,2.0,5.28
1199,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2020-08-03,2.7119999999999997,103.383,-0.024,-0.002,1.297,2.351,2.0,5.28
1182,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2020-09-01,2.625,103.29700000000001,-0.013000000000000001,-0.012,1.219,2.117,2.0,5.28
1179,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2020-10-01,2.673,103.03,-0.006999999999999999,0.0,1.138,1.885,2.0,5.28
1169,DK140037,UNITAPAH 5.28% Series 12 10.12.2021,2020-11-02,2.5540000000000003,102.943,-0.009000000000000001,-0.011000000000000001,1.052,1.655,2.0,5.28
1285,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2019-08-01,3.8169999999999997,102.509,-0.004,0.0,1.7530000000000001,4.011,2.0,5.23
1273,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2019-09-03,3.6689999999999996,102.646,0.0,-0.009000000000000001,1.665,3.67,2.0,5.23
1259,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2019-10-01,3.6310000000000002,102.59700000000001,0.002,-0.004,1.59,3.389,2.0,5.23
1260,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2019-11-01,3.63,102.47399999999999,-0.002,-0.001,1.507,3.089,2.0,5.23
1255,DK140038,UNITAPAH 5.23% Series 11 11.06.2021,2019-12-02,3.609,102.381,-0.01,-0.001,1.4240000000000002,2.805,2.0,5.23
