,VALUE DATE,STOCK CODE,STOCK NAME,EVAL MID YIELD,EVAL MID PRICE,MODIFIED DURATION,COMPOSITE LIQUIDITY SCORE (T-1),COUPON FREQUENCY,NEXT COUPON RATE,CALLABLE/PUTTABLE,REMAINING TENURE,OUTPUT PRICE,RATING TARGET,OPR level
0,2019-08-01,DI140013,UNITAPAH 5.06% Series 8 12.12.2019,3.5810000000000004,100.521,0.358,0.0,2.0,5.06,0,6,100.406,106.14524117827534,3.0
1486,2019-09-01,DI140013,UNITAPAH 5.06% Series 8 12.12.2019,3.517,100.406,0.27,0.0,2.0,5.06,0,3,100.307,106.14524117827534,3.0
2978,2019-10-01,DI140013,UNITAPAH 5.06% Series 8 12.12.2019,3.429,100.307,0.195,0.0,2.0,5.06,0,3,100.17200000000001,106.14524117827534,2.93
4470,2019-11-01,DI140013,UNITAPAH 5.06% Series 8 12.12.2019,3.435,100.17200000000001,0.111,0.0,2.0,5.06,0,3,100.041,106.14524117827534,2.92
1,2019-08-01,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,3.772,101.83200000000001,1.2990000000000002,0.0,2.0,5.17,0,24,101.86399999999999,106.14524117827534,3.0
1487,2019-09-01,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,3.65,101.86399999999999,1.2109999999999999,0.0,2.0,5.17,0,24,101.82700000000001,106.14524117827534,3.0
2979,2019-10-01,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,3.5869999999999997,101.82700000000001,1.136,0.0,2.0,5.17,0,24,101.68799999999999,106.14524117827534,2.93
4471,2019-11-01,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,3.5989999999999998,101.68799999999999,1.052,0.0,2.0,5.17,0,24,101.59200000000001,106.14524117827534,2.92
5974,2019-12-01,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,3.571,101.59200000000001,0.9690000000000001,0.0,2.0,5.17,0,12,101.50399999999999,106.14524117827534,2.99
7477,2020-01-01,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,3.5260000000000002,101.50399999999999,0.9109999999999999,0.0,2.0,5.17,0,12,101.491,106.14524117827534,3.0
9020,2020-02-01,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,3.375,101.491,0.826,3.0,2.0,5.17,0,12,101.508,106.14524117827534,2.66
10550,2020-03-01,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,3.179,101.508,0.7509999999999999,2.7,2.0,5.17,0,12,101.31,106.14524117827534,2.75
12066,2020-04-01,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,3.237,101.31,0.67,2.7,2.0,5.17,0,12,101.236,106.14524117827534,2.5
13597,2020-05-01,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,3.0789999999999997,101.236,0.581,2.3,2.0,5.17,0,12,101.221,106.14524117827534,2.5
15104,2020-06-01,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2.8139999999999996,101.221,0.506,2.3,2.0,5.17,0,6,101.027,106.14524117827534,2.0
16602,2020-07-01,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2.826,101.027,0.44,2.3,2.0,5.17,0,6,100.916,106.14524117827534,2.0
18093,2020-08-01,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2.5469999999999997,100.916,0.35200000000000004,0.0,2.0,5.17,0,6,100.73299999999999,106.14524117827534,1.75
19582,2020-09-01,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2.46,100.73299999999999,0.273,0.0,2.0,5.17,0,3,100.51100000000001,106.14524117827534,1.75
21083,2020-10-01,DJ140003,UNITAPAH 5.17% Series 10 11.12.2020,2.471,100.51100000000001,0.192,0.0,2.0,5.17,0,3,100.296,106.14524117827534,1.75
2,2019-08-01,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,3.685,101.20299999999999,0.835,0.0,2.0,5.12,0,12,101.152,106.14524117827534,3.0
1488,2019-09-01,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,3.5869999999999997,101.152,0.747,0.0,2.0,5.12,0,12,101.09299999999999,106.14524117827534,3.0
2980,2019-10-01,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,3.509,101.09299999999999,0.672,0.0,2.0,5.12,0,12,100.94200000000001,106.14524117827534,2.93
4472,2019-11-01,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,3.5410000000000004,100.94200000000001,0.588,0.0,2.0,5.12,0,12,100.834,106.14524117827534,2.92
5975,2019-12-01,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,3.5039999999999996,100.834,0.505,0.0,2.0,5.12,0,6,100.719,106.14524117827534,2.99
7478,2020-01-01,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,3.46,100.719,0.436,0.0,2.0,5.12,0,6,100.625,106.14524117827534,3.0
9021,2020-02-01,DJ140039,UNITAPAH 5.12% Series 9 12.06.2020,3.313,100.625,0.35100000000000003,0.0,2.0,5.12,0,6,100.54299999999999,106.14524117827534,2.66
