"Date","Overnight","1 Week","1 Month","3 Month","6 Month","1 Year"
"01 Aug 2019","3.00","3.02","-","-","-","-"
"02 Aug 2019","3.00","3.02","-","-","-","-"
"03 Aug 2019","3.00","3.02","-","-","-","-"
"04 Aug 2019","3.00","3.02","-","-","-","-"
"05 Aug 2019","2.91","3.02","-","-","-","-"
"06 Aug 2019","3.00","3.02","-","-","-","-"
"07 Aug 2019","2.91","3.02","-","-","-","-"
"08 Aug 2019","2.94","3.02","3.08","-","-","-"
"09 Aug 2019","3.00","3.02","-","-","-","-"
"10 Aug 2019","3.00","3.02","-","-","-","-"
"11 Aug 2019","3.00","3.02","-","-","-","-"
"12 Aug 2019","3.00","3.02","-","-","-","-"
"13 Aug 2019","3.00","3.02","-","-","-","-"
"14 Aug 2019","2.94","3.02","3.08","-","-","-"
"15 Aug 2019","3.00","3.02","-","-","-","-"
"16 Aug 2019","3.00","3.02","-","-","-","-"
"17 Aug 2019","3.00","3.02","-","-","-","-"
"18 Aug 2019","3.00","3.02","-","-","-","-"
"19 Aug 2019","2.94","3.02","-","-","-","-"
"20 Aug 2019","2.94","3.02","-","-","-","-"
"21 Aug 2019","3.00","3.02","-","-","-","-"
"22 Aug 2019","2.91","3.02","-","-","-","-"
"23 Aug 2019","3.00","3.02","-","-","-","-"
"24 Aug 2019","3.00","3.02","-","-","-","-"
"25 Aug 2019","3.00","3.02","-","-","-","-"
"26 Aug 2019","2.93","3.02","-","-","-","-"
"27 Aug 2019","3.00","3.02","3.08","-","-","-"
"28 Aug 2019","3.00","3.02","-","-","-","-"
"29 Aug 2019","3.00","3.02","-","-","-","-"
"30 Aug 2019","3.00","3.02","-","-","-","-"
"31 Aug 2019","3.00","3.02","-","-","-","-"
"01 Sep 2019","3.00","3.02","-","-","-","-"
"02 Sep 2019","3.00","3.02","-","-","-","-"
"03 Sep 2019","3.00","3.02","-","-","-","-"
"04 Sep 2019","3.00","3.02","-","-","-","-"
"05 Sep 2019","3.00","3.02","-","-","-","-"
"06 Sep 2019","2.93","3.02","-","-","-","-"
"07 Sep 2019","2.93","3.02","-","-","-","-"
"08 Sep 2019","2.93","3.02","-","-","-","-"
"09 Sep 2019","2.93","3.02","-","-","-","-"
"10 Sep 2019","3.00","3.02","-","-","-","-"
"11 Sep 2019","3.00","3.02","-","-","-","-"
"12 Sep 2019","3.00","3.02","-","-","-","-"
"13 Sep 2019","2.94","3.02","-","-","-","-"
